event_id,station_lat,lon,start_date,end_date,peak_date,intensity,duration_d,event_type,environmental_source,in_season
uwi33_088,33,-119.5,2004-02-19 00:00:00+00:00,2004-02-19 00:00:00+00:00,2004-02-19 00:00:00+00:00,23.345792229999866,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_089,33,-119.5,2004-02-28 00:00:00+00:00,2004-02-29 00:00:00+00:00,2004-02-29 00:00:00+00:00,34.933597892857016,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_090,33,-119.5,2004-05-29 00:00:00+00:00,2004-05-30 00:00:00+00:00,2004-05-29 00:00:00+00:00,100.23476521428559,1,upwelling_pulse,Bakun UWI 33N,True
uwi33_091,33,-119.5,2005-10-08 00:00:00+00:00,2005-10-09 00:00:00+00:00,2005-10-09 00:00:00+00:00,129.11345664285702,1,upwelling_pulse,Bakun UWI 33N,True
uwi33_092,33,-119.5,2005-10-15 00:00:00+00:00,2005-10-16 00:00:00+00:00,2005-10-15 00:00:00+00:00,83.11593882142844,1,upwelling_pulse,Bakun UWI 33N,True
uwi33_093,33,-119.5,2006-01-15 00:00:00+00:00,2006-01-16 00:00:00+00:00,2006-01-16 00:00:00+00:00,67.5870573035713,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_094,33,-119.5,2006-02-15 00:00:00+00:00,2006-02-16 00:00:00+00:00,2006-02-16 00:00:00+00:00,67.21909039821416,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_095,33,-119.5,2006-11-09 00:00:00+00:00,2006-11-09 00:00:00+00:00,2006-11-09 00:00:00+00:00,67.53912054999988,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_096,33,-119.5,2006-12-27 00:00:00+00:00,2006-12-28 00:00:00+00:00,2006-12-28 00:00:00+00:00,167.21802106785702,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_097,33,-119.5,2007-02-19 00:00:00+00:00,2007-02-20 00:00:00+00:00,2007-02-19 00:00:00+00:00,99.90359844285699,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_098,33,-119.5,2008-11-09 00:00:00+00:00,2008-11-10 00:00:00+00:00,2008-11-10 00:00:00+00:00,98.5990129821427,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_099,33,-119.5,2009-04-22 00:00:00+00:00,2009-05-08 00:00:00+00:00,2009-05-01 00:00:00+00:00,161.11959657142842,16,upwelling_pulse,Bakun UWI 33N,True
uwi33_100,33,-119.5,2009-10-19 00:00:00+00:00,2009-10-21 00:00:00+00:00,2009-10-21 00:00:00+00:00,86.68016508571415,2,upwelling_pulse,Bakun UWI 33N,True
uwi33_101,33,-119.5,2009-10-27 00:00:00+00:00,2009-10-29 00:00:00+00:00,2009-10-29 00:00:00+00:00,185.03957254535703,2,upwelling_pulse,Bakun UWI 33N,True
uwi33_102,33,-119.5,2009-11-28 00:00:00+00:00,2009-11-29 00:00:00+00:00,2009-11-28 00:00:00+00:00,111.67320313321416,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_103,33,-119.5,2009-12-22 00:00:00+00:00,2009-12-23 00:00:00+00:00,2009-12-23 00:00:00+00:00,87.64501208571416,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_104,33,-119.5,2010-01-22 00:00:00+00:00,2010-01-23 00:00:00+00:00,2010-01-23 00:00:00+00:00,15.551889360714151,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_105,33,-119.5,2010-02-07 00:00:00+00:00,2010-02-11 00:00:00+00:00,2010-02-11 00:00:00+00:00,93.67552203928558,4,upwelling_pulse,Bakun UWI 33N,False
uwi33_106,33,-119.5,2010-03-08 00:00:00+00:00,2010-03-11 00:00:00+00:00,2010-03-10 00:00:00+00:00,188.39124292142841,3,upwelling_pulse,Bakun UWI 33N,False
uwi33_107,33,-119.5,2010-03-30 00:00:00+00:00,2010-04-06 00:00:00+00:00,2010-04-05 00:00:00+00:00,290.37469699999986,7,upwelling_pulse,Bakun UWI 33N,False
uwi33_108,33,-119.5,2010-04-28 00:00:00+00:00,2010-05-02 00:00:00+00:00,2010-05-02 00:00:00+00:00,168.3799001871427,4,upwelling_pulse,Bakun UWI 33N,True
uwi33_109,33,-119.5,2010-10-25 00:00:00+00:00,2010-10-26 00:00:00+00:00,2010-10-26 00:00:00+00:00,67.14170633571415,1,upwelling_pulse,Bakun UWI 33N,True
uwi33_110,33,-119.5,2010-11-28 00:00:00+00:00,2010-11-28 00:00:00+00:00,2010-11-28 00:00:00+00:00,57.104455582142705,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_111,33,-119.5,2011-03-28 00:00:00+00:00,2011-03-29 00:00:00+00:00,2011-03-29 00:00:00+00:00,64.75614057857126,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_112,33,-119.5,2012-02-11 00:00:00+00:00,2012-02-16 00:00:00+00:00,2012-02-16 00:00:00+00:00,128.36291235714268,5,upwelling_pulse,Bakun UWI 33N,False
uwi33_113,33,-119.5,2012-03-06 00:00:00+00:00,2012-03-07 00:00:00+00:00,2012-03-07 00:00:00+00:00,125.51980569285696,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_114,33,-119.5,2013-01-27 00:00:00+00:00,2013-01-29 00:00:00+00:00,2013-01-29 00:00:00+00:00,43.76358872142841,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_115,33,-119.5,2013-03-26 00:00:00+00:00,2013-03-28 00:00:00+00:00,2013-03-27 00:00:00+00:00,113.20527545714269,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_116,33,-119.5,2014-05-17 00:00:00+00:00,2014-07-04 00:00:00+00:00,2014-06-18 00:00:00+00:00,222.99699803571414,48,upwelling_pulse,Bakun UWI 33N,True
uwi33_117,33,-119.5,2015-10-29 00:00:00+00:00,2015-10-29 00:00:00+00:00,2015-10-29 00:00:00+00:00,57.38813197619033,0,upwelling_pulse,Bakun UWI 33N,True
uwi33_118,33,-119.5,2015-11-16 00:00:00+00:00,2015-11-16 00:00:00+00:00,2015-11-16 00:00:00+00:00,65.23259528249984,0,upwelling_pulse,Bakun UWI 33N,False
