country,year,pim_produced_plus_intan,cwon_pca
Hungary,1995,625124.9965630299,146275690102.322
Hungary,1996,627684.7548279131,148583292501.42
Hungary,1997,630714.9494191877,151697895811.746
Hungary,1998,636332.715012728,155874909336.411
Hungary,1999,646682.059367958,160593629867.151
Hungary,2000,656068.3565547395,165611985275.081
Hungary,2001,667474.9680480212,170817091192.624
Hungary,2002,680667.7366591363,177107712070.656
Hungary,2003,694012.9233171231,183165941613.754
Hungary,2004,708808.5206924931,190154157379.221
Hungary,2005,733596.8588564878,197442858313.815
Hungary,2006,756487.7528534523,204545492513.495
Hungary,2007,781888.9443222929,211958368112.739
Hungary,2008,805264.3726378237,219002799475.231
Hungary,2009,831237.910722708,223974258066.189
Hungary,2010,842738.3358099913,226981639903.05
Hungary,2011,852966.4207830302,229594434720.949
Hungary,2012,864151.5783478493,231141355851.706
Hungary,2013,875492.1591412508,234139797594.049
Hungary,2014,890083.9590369886,238791647851.597
Hungary,2015,911564.9888509301,243908259035.058
Hungary,2016,934263.329691573,246508353407.207
Hungary,2017,951543.9159202145,251997893306.682
Hungary,2018,975369.6625971287,260254388679.801
Hungary,2019,1009024.329886547,270631604294.34
Iceland,1995,45021.863171539415,74835624513.7931
Iceland,1996,45660.1275653262,76983621661.674
Iceland,1997,46633.965691298465,79696619185.3221
Iceland,1998,47658.11849034866,83293247239.3915
Iceland,1999,49214.866830600644,86482201496.9977
Iceland,2000,50456.85689164179,90242979240.3031
Iceland,2001,52115.9622156205,93490298588.2157
Iceland,2002,53432.81297941834,95556624066.0322
Iceland,2003,54319.83749049107,97971735275.9419
Iceland,2004,55650.3132755899,101969441160.992
Iceland,2005,57926.949520157876,108447859921.71
Iceland,2006,61590.512308767626,117366705945.803
Iceland,2007,66335.49267706991,124874255751.61
Iceland,2008,69455.58387069766,129733542126.259
Iceland,2009,71343.82843898819,128454196672.11
Iceland,2010,71309.00765207704,126237105382.808
Iceland,2011,70810.24779815688,125123163869.793
Iceland,2012,70486.8945849701,124544347145.211
Iceland,2013,70535.99794474548,124396520155.097
Iceland,2014,70625.92635068065,125185031483.428
Iceland,2015,71191.5646272037,127067169277.098
Iceland,2016,72330.79578842352,130142656729.038
Iceland,2017,74244.2419348007,134391074090.35
Iceland,2018,76685.83657694413,138592299633.005
