accepted_name,genus,family,order,guild,n_occurrences
Serbelodon barbourensis,Serbelodon,Gomphotheriidae,Proboscidea,herbivore,3
Cormohipparion sphenodus,Cormohipparion,Equidae,Perissodactyla,herbivore,3
Alluvisorex arcadentes,Alluvisorex,Soricidae,NO_ORDER_SPECIFIED,other,3
Pronotolagus albus,Pronotolagus,Leporidae,Lagomorpha,herbivore,3
Harrymys,Harrymys,Heteromyidae,Rodentia,herbivore,3
Aguascalientia,Aguascalientia,Camelidae,Artiodactyla,herbivore,3
Yumaceras hamiltoni,Yumaceras,Dromomerycidae,Artiodactyla,herbivore,3
Lutravus halli,Lutravus,Mustelidae,Carnivora,predator,3
Domnina,Domnina,Soricidae,NO_ORDER_SPECIFIED,other,3
Yatkolamys edwardsi,Yatkolamys,Cricetidae,Rodentia,herbivore,3
Perognathus stevei,Perognathus,Heteromyidae,Rodentia,herbivore,3
Pronotolagus,Pronotolagus,Leporidae,Lagomorpha,herbivore,3
Osbornoceros osborni,Osbornoceros,Antilocapridae,Artiodactyla,herbivore,3
Euroxenomys wilsoni,Euroxenomys,Castoridae,Rodentia,herbivore,3
Amebelodon fricki,Amebelodon,Gomphotheriidae,Proboscidea,herbivore,3
Ammospermophilus,Ammospermophilus,Sciuridae,Rodentia,herbivore,3
Macrognathomys nanus,Macrognathomys,Zapodidae,Rodentia,herbivore,3
Ammospermophilus fossilis,Ammospermophilus,Sciuridae,Rodentia,herbivore,3
Protospermophilus malheurensis,Protospermophilus,Sciuridae,Rodentia,herbivore,3
Mystipterus pacificus,Mystipterus,Talpidae,NO_ORDER_SPECIFIED,other,3
Bassariscus ogallalae,Bassariscus,Procyonidae,Carnivora,predator,3
Hemiauchenia minima,Hemiauchenia,Camelidae,Artiodactyla,herbivore,3
Liodontia dailyi,Liodontia,Aplodontiidae,Rodentia,herbivore,3
Liodontia,Liodontia,Aplodontiidae,Rodentia,herbivore,3
Lindsaymys takeuchii,Lindsaymys,Cricetidae,Rodentia,herbivore,3
Liodontia furlongi,Liodontia,Aplodontiidae,Rodentia,herbivore,3
Repomys,Repomys,Cricetidae,Rodentia,herbivore,3
Cupidinimus prattensis,Cupidinimus,Heteromyidae,Rodentia,herbivore,3
Euroxenomys galushai,Euroxenomys,Castoridae,Rodentia,herbivore,3
Buisnictis schoffi,Buisnictis,Mephitidae,Carnivora,predator,3
Mylagaulodon,Mylagaulodon,Mylagaulidae,Rodentia,herbivore,2
Priusaulax wilsoni,Priusaulax,Castoridae,Rodentia,herbivore,2
Perognathoides quartus,Perognathoides,Heteromyidae,Rodentia,herbivore,2
Nanosiren,Nanosiren,Dugongidae,Sirenia,other,2
Floridatragulus texanus,Floridatragulus,Camelidae,Artiodactyla,herbivore,2
Sanctimus stuartae,Sanctimus,Florentiamyidae,Rodentia,herbivore,2
Neatocastor hesperus,Neatocastor,Castoridae,Rodentia,herbivore,2
Floridatragulus dolichanthereus,Floridatragulus,Camelidae,Artiodactyla,herbivore,2
Perognathus mclaughlini,Perognathus,Heteromyidae,Rodentia,herbivore,2
Phenacocoelus kayi,Phenacocoelus,Merycoidodontidae,Artiodactyla,herbivore,2
Rakomylus raki,Rakomylus,Camelidae,Artiodactyla,herbivore,2
Mojavemys magnumarcus,Mojavemys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,2
Floridatragulus nanus,Floridatragulus,Camelidae,Artiodactyla,herbivore,2
Australocamelus,Australocamelus,Camelidae,Artiodactyla,herbivore,2
Mylagaulus sesquipedalis,Mylagaulus,Mylagaulidae,Rodentia,herbivore,2
Miospermophilus bryanti,Miospermophilus,Sciuridae,Rodentia,herbivore,2
Mylagaulus kinseyi,Mylagaulus,Mylagaulidae,Rodentia,herbivore,2
Simocyon primigenius,Simocyon,Ailuridae,Carnivora,predator,2
Puma lacustris,Puma,Felidae,Carnivora,predator,2
Neotoma,Neotoma,Cricetidae,Rodentia,herbivore,2
Sinclairomeryx,Sinclairomeryx,Palaeomerycidae,Artiodactyla,herbivore,2
Balantiomys borealis,Balantiomys,Heteromyidae,Rodentia,herbivore,2
Priusaulax,Priusaulax,Castoridae,Rodentia,herbivore,2
Mylohyus elmorei,Mylohyus,Tayassuidae,Artiodactyla,herbivore,2
Gomphotherium productum,Gomphotherium,Gomphotheriidae,Proboscidea,herbivore,2
Miotapirus,Miotapirus,Tapiridae,Perissodactyla,herbivore,2
Baiomys kolbi,Baiomys,Cricetidae,Rodentia,herbivore,2
Hesperocamelus stylodon,Hesperocamelus,Camelidae,Artiodactyla,herbivore,2
Mylagaulodon angulatus,Mylagaulodon,Mylagaulidae,Rodentia,herbivore,2
Diprionomys minimus,Diprionomys,Heteromyidae,Rodentia,herbivore,2
Mojavemys mascallensis,Mojavemys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,2
Neotamias,Neotamias,Sciuridae,Rodentia,herbivore,2
Spermophilus (Otospermophilus) gidleyi,Otospermophilus,Sciuridae,Rodentia,herbivore,2
Brevimalictis chikasha,Brevimalictis,Mustelidae,Carnivora,predator,2
Euroxenomys,Euroxenomys,Castoridae,Rodentia,herbivore,2
Prosigmodon oroscoi,Prosigmodon,Cricetidae,Rodentia,herbivore,2
Protolabis saxeus,Protolabis,Camelidae,Artiodactyla,herbivore,2
Euhapsis ellicottae,Euhapsis,Castoridae,Rodentia,herbivore,2
Parallomys americanus,Parallomys,Aplodontiidae,Rodentia,herbivore,2
Eucyon,Eucyon,Canidae,Carnivora,predator,2
Mojavemys galushai,Mojavemys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,2
Felis rexroadensis,Felis,Felidae,Carnivora,predator,2
Prosigmodon chihuahuensis,Prosigmodon,Cricetidae,Rodentia,herbivore,2
Fanimus ultimus,Fanimus,Florentiamyidae,Rodentia,herbivore,2
Eurybelodon shoshanii,Eurybelodon,Gomphotheriidae,Proboscidea,herbivore,2
Brachyopsigale dubius,Brachyopsigale,Mephitidae,Carnivora,predator,2
Brachypsalis,Brachypsalis,Mustelidae,Carnivora,predator,2
Copemys loxodon,Copemys,Cricetidae,Rodentia,herbivore,2
Oreolagus nevadensis,Oreolagus,Ochotonidae,Lagomorpha,herbivore,2
Parvericius voorhiesi,Parvericius,Erinaceidae,NO_ORDER_SPECIFIED,other,2
Paramiolabis,Paramiolabis,Camelidae,Artiodactyla,herbivore,2
Paramiolabis minutus,Paramiolabis,Camelidae,Artiodactyla,herbivore,2
Domninoides riparensis,Domninoides,Talpidae,NO_ORDER_SPECIFIED,other,2
Paramiolabis singularis,Paramiolabis,Camelidae,Artiodactyla,herbivore,2
Entoptychus leptophrys,Entoptychus,Entoptychidae,Rodentia,herbivore,2
Paramiolabis taylori,Paramiolabis,Camelidae,Artiodactyla,herbivore,2
Paranasua,Paranasua,Procyonidae,Carnivora,predator,2
Parahippus brevidens,Parahippus,Equidae,Perissodactyla,herbivore,2
Parapaenemarmota pattersoni,Parapaenemarmota,Sciuridae,Rodentia,herbivore,2
Paracosoryx loxoceros,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,2
Carpocyon limosus,Carpocyon,Canidae,Carnivora,predator,2
Bensonomys elachys,Bensonomys,Cricetidae,Rodentia,herbivore,2
Paraenhydrocyon robustus,Paraenhydrocyon,Canidae,Carnivora,predator,2
Eubelodon,Eubelodon,Gomphotheriidae,Proboscidea,herbivore,2
Eptesicus,Eptesicus,Vespertilionidae,Chiroptera,other,2
Brachypsalis obliquidens,Brachypsalis,Mustelidae,Carnivora,predator,2
Calippus maccartyi,Calippus,Equidae,Perissodactyla,herbivore,2
Nothokemas waldropi,Nothokemas,Camelidae,Artiodactyla,herbivore,2
Copemys lindsayi,Copemys,Cricetidae,Rodentia,herbivore,2
Borophagus orc,Borophagus,Canidae,Carnivora,predator,2
Ochotona,Ochotona,Ochotonidae,Lagomorpha,herbivore,2
Citellus matachicensis,Citellus,Sciuridae,Rodentia,herbivore,2
Nototamias quadratus,Nototamias,Sciuridae,Rodentia,herbivore,2
Bensonomys gidleyi,Bensonomys,Cricetidae,Rodentia,herbivore,2
Oreolagus colteri,Oreolagus,Ochotonidae,Lagomorpha,herbivore,2
Actiocyon parverratis,Actiocyon,Ailuridae,Carnivora,predator,2
Floridatragulus,Floridatragulus,Camelidae,Artiodactyla,herbivore,2
Blackia,Blackia,Sciuridae,Rodentia,herbivore,2
Floridachoerus olseni,Floridachoerus,Tayassuidae,Artiodactyla,herbivore,2
Barbourofelis fricki,Barbourofelis,Nimravidae,Carnivora,predator,2
Barbourofelis loveorum,Barbourofelis,Nimravidae,Carnivora,predator,2
Fossorcastor brachyceps,Fossorcastor,Castoridae,Rodentia,herbivore,2
Eomellivora,Eomellivora,Mustelidae,Carnivora,predator,2
Onychomys,Onychomys,Cricetidae,Rodentia,herbivore,2
Oxydactylus lacota,Oxydactylus,Camelidae,Artiodactyla,herbivore,2
Ceratogaulus minor,Ceratogaulus,Mylagaulidae,Rodentia,herbivore,2
Paenemarmota nevadensis,Paenemarmota,Sciuridae,Rodentia,herbivore,2
Pseudotrimylus roperi,Pseudotrimylus,Soricidae,NO_ORDER_SPECIFIED,other,2
Panolax sanctaefidei,Panolax,Leporidae,Lagomorpha,herbivore,2
Paleoparadoxia tabatai,Paleoparadoxia,Paleoparadoxiidae,Desmostyloidea,other,2
Palaeolagus,Palaeolagus,Leporidae,Lagomorpha,herbivore,2
Paronychomys lemredfieldi,Paronychomys,Cricetidae,Rodentia,herbivore,2
Nothotylopus camptognathus,Nothotylopus,Camelidae,Artiodactyla,herbivore,2
Palaeogale,Palaeogale,Palaeogalidae,Carnivora,predator,2
Pseudaelurus aeluroides,Pseudaelurus,Felidae,Carnivora,predator,2
Pseudaelurus stouti,Pseudaelurus,Felidae,Carnivora,predator,2
Nimravides pedionomus,Nimravides,Felidae,Carnivora,predator,2
Paroreodon parvus,Paroreodon,Merycoidodontidae,Artiodactyla,herbivore,2
Nimravides galiani,Nimravides,Felidae,Carnivora,predator,2
Parapliosaccomys transversus,Parapliosaccomys,Geomyidae,Rodentia,herbivore,2
Notolagus,Notolagus,Leporidae,Lagomorpha,herbivore,2
Palaeogale minuta,Palaeogale,Palaeogalidae,Carnivora,predator,2
Ticholeptus bluei,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,2
Kalobatippus australis,Kalobatippus,Equidae,Perissodactyla,herbivore,2
Jacobsomys dailyi,Jacobsomys,Cricetidae,Rodentia,herbivore,2
Trogomys,Trogomys,Heteromyidae,Rodentia,herbivore,2
Cuyamacamelus jamesi,Cuyamacamelus,Camelidae,Artiodactyla,herbivore,2
Megalictis simplicidens,Megalictis,Mustelidae,Carnivora,predator,2
Tsaphanomys shotwelli,Tsaphanomys,Cricetidae,Rodentia,herbivore,2
Megalictis,Megalictis,Mustelidae,Carnivora,predator,2
Tylionomys woodi,Tylionomys,Heliscomyidae,Rodentia,herbivore,2
Amphicyon pontoni,Amphicyon,Amphicyonidae,Carnivora,predator,2
Cynarctoides gawnae,Cynarctoides,Canidae,Carnivora,predator,2
Cormocyon copei,Cormocyon,Canidae,Carnivora,predator,2
Cynarctoides whistleri,Cynarctoides,Canidae,Carnivora,predator,2
Machaeromeryx tragulus,Machaeromeryx,Moschidae,Artiodactyla,herbivore,2
Tregosorex holmani,Tregosorex,Soricidae,NO_ORDER_SPECIFIED,other,2
Trigonictis,Trigonictis,Mustelidae,Carnivora,predator,2
Trilaccogaulus bettae,Trilaccogaulus,Mylagaulidae,Rodentia,herbivore,2
Lynx proterolyncis,Lynx,Felidae,Carnivora,predator,2
Trilaccogaulus ovatus,Trilaccogaulus,Mylagaulidae,Rodentia,herbivore,2
Cynarctoides emryi,Cynarctoides,Canidae,Carnivora,predator,2
Cynelos caroniavorus,Cynelos,Amphicyonidae,Carnivora,predator,2
Merriamoceros,Merriamoceros,Antilocapridae,Artiodactyla,herbivore,2
Amphimachairodus alvarezi,Amphimachairodus,Felidae,Carnivora,predator,2
Plesiosminthus,Plesiosminthus,Zapodidae,Rodentia,herbivore,2
Anchitheriomys fluminis,Anchitheriomys,Castoridae,Rodentia,herbivore,2
Leidymys cerasus,Leidymys,Cricetidae,Rodentia,herbivore,2
Hypohippus equinus,Hypohippus,Equidae,Perissodactyla,herbivore,2
Pliosaccomys dubius,Pliosaccomys,Geomyidae,Rodentia,herbivore,2
Harrymys woodi,Harrymys,Heteromyidae,Rodentia,herbivore,2
Achlyoscapter longirostris,Achlyoscapter,Talpidae,NO_ORDER_SPECIFIED,other,2
Hypolagus regalis,Hypolagus,Leporidae,Lagomorpha,herbivore,2
Hypohippus nevadensis,Hypohippus,Equidae,Perissodactyla,herbivore,2
Pinnarctidion rayi,Pinnarctidion,NO_FAMILY_SPECIFIED,Carnivora,predator,2
Martinogale,Martinogale,Mephitidae,Carnivora,predator,2
Cormohipparion fricki,Cormohipparion,Equidae,Perissodactyla,herbivore,2
Marmota vetus,Marmota,Sciuridae,Rodentia,herbivore,2
Cupidinimus whitlocki,Cupidinimus,Heteromyidae,Rodentia,herbivore,2
Ursavus,Ursavus,Ursidae,Carnivora,predator,2
Ursavus brevirhinus,Ursavus,Ursidae,Carnivora,predator,2
Ustatochoerus,Ustatochoerus,Merycoidodontidae,Artiodactyla,herbivore,2
Tapirus webbi,Tapirus,Tapiridae,Perissodactyla,herbivore,2
Temnocyon percussor,Temnocyon,Amphicyonidae,Carnivora,predator,2
Craterogale,Craterogale,Mustelidae,Carnivora,predator,2
Wrightohyus yatkolai,Wrightohyus,Tayassuidae,Artiodactyla,herbivore,2
Aletomeryx marslandensis,Aletomeryx,Palaeomerycidae,Artiodactyla,herbivore,2
Thinobadistes segnis,Thinobadistes,Mylodontidae,Xenarthra,herbivore,2
Thinobadistes,Thinobadistes,Mylodontidae,Xenarthra,herbivore,2
Texomys stewarti,Texomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,2
Acrolophomys rhodopetros,Acrolophomys,Cricetidae,Rodentia,herbivore,2
Plesiosorex latidens,Plesiosorex,Plesiosoricidae,NO_ORDER_SPECIFIED,other,2
Mammut furlongi,Mammut,Mammutidae,Proboscidea,herbivore,2
Ysengrinia,Ysengrinia,Amphicyonidae,Carnivora,predator,2
Alilepus vagus,Alilepus,Leporidae,Lagomorpha,herbivore,2
Alilepus hibbardi,Alilepus,Leporidae,Lagomorpha,herbivore,2
Pleurolicus exiguus,Pleurolicus,Geomyidae,Rodentia,herbivore,2
Aepycamelus stocki,Aepycamelus,Camelidae,Artiodactyla,herbivore,2
Ustatochoerus leptoscelos,Ustatochoerus,Merycoidodontidae,Artiodactyla,herbivore,2
Pleurolicus sulcifrons,Pleurolicus,Geomyidae,Rodentia,herbivore,2
Adelphailurus,Adelphailurus,Felidae,Carnivora,predator,2
Adeloblarina berklandi,Adeloblarina,Soricidae,NO_ORDER_SPECIFIED,other,2
Plioceros dehlini,Plioceros,Antilocapridae,Artiodactyla,herbivore,2
Cosoryx ilfonsensis,Cosoryx,Antilocapridae,Artiodactyla,herbivore,2
Mammut americanum,Mammut,Mammutidae,Proboscidea,herbivore,2
Alwoodia harkseni,Alwoodia,Aplodontiidae,Rodentia,herbivore,2
Macrognathomys gemmacolis,Macrognathomys,Zapodidae,Rodentia,herbivore,2
Amphechinus,Amphechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,2
Plithocyon ursinus,Plithocyon,Ursidae,Carnivora,predator,2
Cupidinimus avawatzensis,Cupidinimus,Heteromyidae,Rodentia,herbivore,2
Achlyoscapter,Achlyoscapter,Talpidae,NO_ORDER_SPECIFIED,other,2
Leptarctus woodburnei,Leptarctus,Mustelidae,Carnivora,predator,2
Cupidinimus boronensis,Cupidinimus,Heteromyidae,Rodentia,herbivore,2
Texoceros minorei,Texoceros,Antilocapridae,Artiodactyla,herbivore,2
Cupidinimus kleinfelderi,Cupidinimus,Heteromyidae,Rodentia,herbivore,2
Cupidinimus madisonensis,Cupidinimus,Heteromyidae,Rodentia,herbivore,2
Leptodontomys russelli,Leptodontomys,Eomyidae,Rodentia,herbivore,2
Pliocyon medius,Pliocyon,Amphicyonidae,Carnivora,predator,2
Pliotomodon primitivus,Pliotomodon,Cricetidae,Rodentia,herbivore,2
Antrozous pallidus,Antrozous,Vespertilionidae,Chiroptera,other,2
Pliogale,Pliogale,Mephitidae,Carnivora,predator,2
Zacatzontli tecolotlanensis,Zacatzontli,Megalonychidae,Xenarthra,herbivore,2
Antecalomys phthanus,Antecalomys,Cricetidae,Rodentia,herbivore,2
Ziamys hugeni,Ziamys,Entoptychidae,Rodentia,herbivore,2
Lindsaymys,Lindsaymys,Cricetidae,Rodentia,herbivore,2
Promartes olcotti,Promartes,Mustelidae,Carnivora,predator,2
Spermophilus dotti,Spermophilus,Sciuridae,Rodentia,herbivore,2
Plionictis,Plionictis,Mustelidae,Carnivora,predator,2
Heliscomys (Syphyriomys) subtilis,Heliscomys (Syphyriomys),Heliscomyidae,Rodentia,herbivore,2
Prodipoides phillisi,Prodipoides,Castoridae,Rodentia,herbivore,2
Mioheteromys arcarius,Mioheteromys,Heteromyidae,Rodentia,herbivore,2
Merycoides longiceps,Merycoides,Merycoidodontidae,Artiodactyla,herbivore,2
Prodipodomys coquorum,Prodipodomys,Heteromyidae,Rodentia,herbivore,2
Procyon,Procyon,Procyonidae,Carnivora,predator,2
Probassariscus,Probassariscus,Procyonidae,Carnivora,predator,2
Mesogaulus ballensis,Mesogaulus,Mylagaulidae,Rodentia,herbivore,2
Proheteromys maximus,Proheteromys,Heteromyidae,Rodentia,herbivore,2
Schizodontomys greeni,Schizodontomys,Heteromyidae,Rodentia,herbivore,2
Desmostylus hesperus,Desmostylus,Desmostylidae,Desmostyloidea,other,2
Bassariscus,Bassariscus,Procyonidae,Carnivora,predator,2
Bassariscus lycopotamicus,Bassariscus,Procyonidae,Carnivora,predator,2
Metechinus nevadensis,Metechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,2
Arretotherium,Arretotherium,Anthracotheriidae,Artiodactyla,herbivore,2
Merycodus crucensis,Merycodus,Antilocapridae,Artiodactyla,herbivore,2
Michenia mudhillsensis,Michenia,Camelidae,Artiodactyla,herbivore,2
Hoplictis grangerensis,Hoplictis,Mustelidae,Carnivora,predator,2
Bassariscus parvus,Bassariscus,Procyonidae,Carnivora,predator,2
Bensonomys baskini,Bensonomys,Cricetidae,Rodentia,herbivore,2
Promartes,Promartes,Mustelidae,Carnivora,predator,2
Desmatippus nebrascensis,Desmatippus,Equidae,Perissodactyla,herbivore,2
Tanymykter longirostris,Tanymykter,Camelidae,Artiodactyla,herbivore,2
Stegomastodon,Stegomastodon,Gomphotheriidae,Proboscidea,herbivore,2
Mojavemys,Mojavemys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,2
Miotylopus leonardi,Miotylopus,Camelidae,Artiodactyla,herbivore,2
Lambdoceras trinitiensis,Lambdoceras,Protoceratidae,Artiodactyla,herbivore,2
Serbelodon,Serbelodon,Gomphotheriidae,Proboscidea,herbivore,2
Dipodomys kansensis,Dipodomys,Heteromyidae,Rodentia,herbivore,2
Antecalomys coxae,Antecalomys,Cricetidae,Rodentia,herbivore,2
Arctonasua gracilis,Arctonasua,Procyonidae,Carnivora,predator,2
Miohippus gemmarosae,Miohippus,Equidae,Perissodactyla,herbivore,2
Sigmodon,Sigmodon,Cricetidae,Rodentia,herbivore,2
Platybelodon loomisi,Platybelodon,Gomphotheriidae,Proboscidea,herbivore,2
Gregorymys riograndensis,Gregorymys,Entoptychidae,Rodentia,herbivore,2
Anouroneomys minimus,Crusafontina,Soricidae,NO_ORDER_SPECIFIED,other,2
Similisciurus maxwelli,Similisciurus,Sciuridae,Rodentia,herbivore,2
Plionarctos edensis,Plionarctos,Ursidae,Carnivora,predator,2
Metechinus,Metechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,2
Scaphohippus,Scaphohippus,Equidae,Perissodactyla,herbivore,2
Arikareeomys skinneri,Arikareeomys,Eomyidae,Rodentia,herbivore,2
Schizodontomys,Schizodontomys,Heteromyidae,Rodentia,herbivore,2
Angustidens vireti,Angustidens,Soricidae,NO_ORDER_SPECIFIED,other,2
Sphenophalos nevadanus,Sphenophalos,Antilocapridae,Artiodactyla,herbivore,2
Sphenophalos middleswarti,Sphenophalos,Antilocapridae,Artiodactyla,herbivore,2
Hesperoscalops mcgrewi,Scalopus,Talpidae,NO_ORDER_SPECIFIED,other,2
Hemiauchenia gracilis,Hemiauchenia,Camelidae,Artiodactyla,herbivore,2
Plionarctos,Plionarctos,Ursidae,Carnivora,predator,2
Delahomeryx browni,Delahomeryx,NO_FAMILY_SPECIFIED,Artiodactyla,herbivore,2
Spermophilus primitivus,Spermophilus,Sciuridae,Rodentia,herbivore,2
Scapanoscapter simplicidens,Scapanoscapter,Talpidae,NO_ORDER_SPECIFIED,other,2
Proantilocapra,Proantilocapra,Antilocapridae,Artiodactyla,herbivore,1
Prosigmodon tecolotum,Prosigmodon,Cricetidae,Rodentia,herbivore,1
Procamelus leptognathus,Procamelus,Camelidae,Artiodactyla,herbivore,1
Priusaulax browni,Priusaulax,Castoridae,Rodentia,herbivore,1
Prosomys,Prosomys,Cricetidae,Rodentia,herbivore,1
Pliosaccomys prowitteorum,Pliosaccomys,Geomyidae,Rodentia,herbivore,1
Prodipodomys idahoensis,Prodipodomys,Heteromyidae,Rodentia,herbivore,1
Centetodon divaricatus,Centetodon,Geolabididae,NO_ORDER_SPECIFIED,other,1
Prosthennops kernensis,Prosthennops,Tayassuidae,Artiodactyla,herbivore,1
Pristinailurus bristoli,Pristinailurus,Ailuridae,Carnivora,predator,1
Primonatalus prattae,Primonatalus,Natalidae,Chiroptera,other,1
Cormohipparion skinneri,Cormohipparion,Equidae,Perissodactyla,herbivore,1
Pratilepus,Pratilepus,Leporidae,Lagomorpha,herbivore,1
Procamelus leptocolon,Procamelus,Camelidae,Artiodactyla,herbivore,1
Postcopemys vasquezi,Postcopemys,Cricetidae,Rodentia,herbivore,1
Ceratogaulus cornutasagma,Ceratogaulus,Mylagaulidae,Rodentia,herbivore,1
Potamonycteris biperforatus,Potamonycteris,Vespertilionidae,Chiroptera,other,1
Plionictis gazini,Plionictis,Mustelidae,Carnivora,predator,1
Plionictis kinseyi,Plionictis,Mustelidae,Carnivora,predator,1
Plionictis oaxacaensis,Plionictis,Mustelidae,Carnivora,predator,1
Plionictis oregonensis,Plionictis,Mustelidae,Carnivora,predator,1
Plionycteris,Plionycteris,Vespertilionidae,Chiroptera,other,1
Prosigmodon,Prosigmodon,Cricetidae,Rodentia,herbivore,1
Pliophenacomys koenigswaldi,Pliophenacomys,Cricetidae,Rodentia,herbivore,1
Pliohippus potosinus,Pliohippus,Equidae,Perissodactyla,herbivore,1
Pliosaccomys higginsensis,Pliosaccomys,Geomyidae,Rodentia,herbivore,1
Cynomyoides vatis,Cynomyoides,Sciuridae,Rodentia,herbivore,1
Chamitataxus avitus,Chamitataxus,Mustelidae,Carnivora,predator,1
Cynarctus wangi,Cynarctus,Canidae,Carnivora,predator,1
Citellus (Citellus) mckayensis,Citellus (Citellus),Sciuridae,Rodentia,herbivore,1
Cynelos idoneus,Cynelos,Amphicyonidae,Carnivora,predator,1
Citellus (Otospermophilus) fricki,Otospermophilus,Sciuridae,Rodentia,herbivore,1
Pratifelis martini,Pratifelis,Felidae,Carnivora,predator,1
Prosigmodon ferrusquiai,Prosigmodon,Cricetidae,Rodentia,herbivore,1
Plithocyon barstowensis,Plithocyon,Ursidae,Carnivora,predator,1
Probassariscus matthewi,Probassariscus,Procyonidae,Carnivora,predator,1
Proantilocapra platycornea,Proantilocapra,Antilocapridae,Artiodactyla,herbivore,1
Poamys rivicola,Poamys,Cricetidae,Rodentia,herbivore,1
Cryptailurus tedfordi,Cryptailurus,Palaeogalidae,Carnivora,predator,1
Cryptailurus tinaynakti,Cryptailurus,Palaeogalidae,Carnivora,predator,1
Cryptotis,Cryptotis,Soricidae,NO_ORDER_SPECIFIED,other,1
Cetotherium furlongi,Cetotherium,Cetotheriidae,Cetacea,other,1
Cuon,Cuon,Canidae,Carnivora,predator,1
Cernictis repenningi,Cernictis,Mustelidae,Carnivora,predator,1
Cernictis hesperus,Cernictis,Mustelidae,Carnivora,predator,1
Proheteromys sabinensis,Proheteromys,Heteromyidae,Rodentia,herbivore,1
Cerdocyon texanus,Cerdocyon,Canidae,Carnivora,predator,1
Ceratogaulus robustus,Ceratogaulus,Mylagaulidae,Rodentia,herbivore,1
Proheteromys matthewi,Proheteromys,Heteromyidae,Rodentia,herbivore,1
Cryptotis adamsi,Cryptotis,Soricidae,NO_ORDER_SPECIFIED,other,1
Proheteromys cejanus,Proheteromys,Heteromyidae,Rodentia,herbivore,1
Progeomys sulcatus,Progeomys,Geomyidae,Rodentia,herbivore,1
Proheteromys toledoensis,Proheteromys,Heteromyidae,Rodentia,herbivore,1
Aplodontia micra,Aplodontia,Aplodontiidae,Rodentia,herbivore,1
Spermophilus howelli,Spermophilus,Sciuridae,Rodentia,herbivore,1
Spermophilus rexroadensis,Spermophilus,Sciuridae,Rodentia,herbivore,1
Spermophilus wellingtonensis,Spermophilus,Sciuridae,Rodentia,herbivore,1
Sphenophalos garciae,Sphenophalos,Antilocapridae,Artiodactyla,herbivore,1
Ansomys hepburnensis,Ansomys,Aplodontiidae,Rodentia,herbivore,1
Ansomys nevadensis,Ansomys,Aplodontiidae,Rodentia,herbivore,1
Antecalomys,Antecalomys,Cricetidae,Rodentia,herbivore,1
Aybelodon hondurensis,Rhynchotherium,Gomphotheriidae,Proboscidea,herbivore,1
Amphicyon riggsi,Amphicyon,Amphicyonidae,Carnivora,predator,1
Ancenycteris,Ancenycteris,Vespertilionidae,Chiroptera,other,1
Anchiblarinella wakeeneyensis,Anchiblarinella,Soricidae,NO_ORDER_SPECIFIED,other,1
Anchitheriomys stouti,Anchitheriomys,Castoridae,Rodentia,herbivore,1
Syndyoceras,Syndyoceras,Protoceratidae,Artiodactyla,herbivore,1
Tapirus simpsoni,Tapirus,Tapiridae,Perissodactyla,herbivore,1
Tardontia nevadans,Tardontia,Aplodontiidae,Rodentia,herbivore,1
Sthenictis bellus,Sthenictis,Mustelidae,Carnivora,predator,1
Tayassu edensis,Tayassu,Tayassuidae,Artiodactyla,herbivore,1
Bensonomys coffeyi,Bensonomys,Cricetidae,Rodentia,herbivore,1
Arctonasua fricki,Arctonasua,Procyonidae,Carnivora,predator,1
Arctonasua minima,Arctonasua,Procyonidae,Carnivora,predator,1
Arikarictis chapini,Arikarictis,Mustelidae,Carnivora,predator,1
Arretotherium leptodus,Arretotherium,Anthracotheriidae,Artiodactyla,herbivore,1
Stenomylus tubutamensis,Stenomylus,Camelidae,Artiodactyla,herbivore,1
Archaeohippus mannulus,Archaeohippus,Equidae,Perissodactyla,herbivore,1
Archaeohippus minimus,Archaeohippus,Equidae,Perissodactyla,herbivore,1
Stenomylus taylori,Stenomylus,Camelidae,Artiodactyla,herbivore,1
Archaeotherium caninus,Archaeotherium,Entelodontidae,Artiodactyla,herbivore,1
Arctomeles dimolodontus,Arctomeles,Mustelidae,Carnivora,predator,1
Arctomyoides,Arctomyoides,Sciuridae,Rodentia,herbivore,1
Arctonasua eurybates,Arctonasua,Procyonidae,Carnivora,predator,1
Stegomastodon nebrascensis,Stegomastodon,Gomphotheriidae,Proboscidea,herbivore,1
Stenoechinus tantalus,Stenoechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,1
Stenomylus crassipes,Stenomylus,Camelidae,Artiodactyla,herbivore,1
Stenomylus keelinensis,Stenomylus,Camelidae,Artiodactyla,herbivore,1
Archaeolagus acaricolus,Archaeolagus,Leporidae,Lagomorpha,herbivore,1
Lucashyus coombsae,Lucashyus,Tayassuidae,Artiodactyla,herbivore,1
