pop1,pop2,region1,region2,continent1,continent2,dataset1,dataset2,n1,n2,nean_corr,deni_corr,nean_spearman,deni_spearman,nean_cosine,deni_cosine,nean_full_corr,deni_full_corr,nean_jaccard,deni_jaccard,nean_nonzero_union_bins,deni_nonzero_union_bins,geo_dist_km,same_dataset,same_continent,any_admixed,max_admix_eur
Mongolian,Oroqen,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,9,9,0.7959735734923709,0.491688362262501,0.6966415511878552,0.18653395180422383,0.9013456106185913,0.7199162244796753,0.8741403713936946,0.7062190021226354,0.7150559933637495,0.4540901502504174,2411,599,1441.8346194146668,1,1,0,0.0
Mongolian,PEL,EAST_ASIA,AMERICA,EAS,AMR,HGDP,1000 Genomes,9,122,0.6258388194621886,0.38698040541217826,0.5286313120182325,0.037055698941962395,0.7686901688575745,0.5670688152313232,0.7039046383002601,0.5489764814575236,0.573159648591336,0.33080808080808083,3301,792,16105.250910055533,0,0,1,0.16
Mongolian,PJL,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,1000 Genomes,9,146,0.5698149286631417,0.22516810337818777,0.49346080361052036,-0.08672286205981153,0.732073962688446,0.4051879644393921,0.6412848544557612,0.36076060544191335,0.5240917289358413,0.17465753424657535,3881,1752,3358.8322325350205,0,0,0,0.0
Mongolian,PUR,EAST_ASIA,AMERICA,EAS,AMR,HGDP,1000 Genomes,9,139,0.42295686402097393,0.2751258371522898,0.33322412406112123,-0.07675567352174299,0.6517542004585266,0.48739948868751526,0.5376006987094278,0.4627352584200667,0.5325361512791991,0.27323008849557523,3596,904,12735.979793605287,0,0,1,0.64
Mongolian,Palestinian,EAST_ASIA,MIDDLE_EAST,EAS,WAS,HGDP,HGDP,9,46,0.2224930381889099,0.01022850694775237,0.09140366433610203,-0.4520580055905153,0.5315505862236023,0.3045552372932434,0.38614060377177817,0.2740994979840935,0.4851571594877765,0.17380660954712362,3436,817,6164.279588556295,1,0,0,0.0
Mongolian,PapuanHighlands,EAST_ASIA,OCEANIA,EAS,OCE,HGDP,HGDP,9,9,0.18356815002067722,-0.19629658622288712,-0.02501937259065164,-0.3833995731116988,0.5177860260009766,0.15953770279884338,0.4010339702042324,0.06722465788734258,0.3976735732460923,0.09596928982725528,2751,2084,6976.357957752405,1,0,0,0.0
Mongolian,PapuanSepik,EAST_ASIA,OCEANIA,EAS,OCE,HGDP,HGDP,9,8,0.21560946158976552,-0.23328203824446472,0.008124961516446443,-0.41659144234253126,0.5383281707763672,0.14001621305942535,0.4253874204051997,0.04557379721491142,0.424791591156216,0.09375,2759,2048,6676.200028225677,1,0,0,0.0
Mongolian,Pathan,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,HGDP,9,24,0.440719768353524,0.11112063770427072,0.3290944758761776,-0.3529964555298622,0.6797534823417664,0.39191094040870667,0.5713429583603064,0.3552412088159174,0.5377881529034141,0.18059558117195004,3427,1041,3294.262680833534,1,0,0,0.0
Mongolian,Pima,EAST_ASIA,AMERICA,EAS,AMR,HGDP,HGDP,9,13,0.4720310220756687,0.16288147462716826,0.355420044903077,-0.04694406005733582,0.711889922618866,0.4701008200645447,0.6458327076006222,0.45212814216814035,0.5460277427490542,0.29213483146067415,2379,534,10926.977169667342,1,0,0,0.0
Mongolian,Russian,EAST_ASIA,EUROPE,EAS,EUR,HGDP,HGDP,9,25,0.3331903359783501,0.13159409215689893,0.20527561718834278,-0.2220012526263421,0.6210122108459473,0.44203460216522217,0.499019597735834,0.41742238607540255,0.5445058317986495,0.27883211678832115,3258,685,4737.032994058143,1,0,0,0.0
