oid,cid,tna,tid,rnk,lng,lat,env,lt1,ldc,tpm,tps,tpt,cct,gsc,ccx,ccd,cnm,aut,pby,oei,guild,genus,collection_no,body_fossil,is_ootaxon
occ:1267026,col:127681,Dendroolithidae,txn:67212,9.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127681,True,False
occ:1267027,col:127681,Oviraptorosauria,txn:54546,11.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127681,True,False
occ:1267028,col:127681,Elongatoolithidae,txn:65566,9.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127681,True,False
occ:1267029,col:127681,Spheroolithidae,txn:67194,9.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,herbivore,,127681,True,False
occ:1267105,col:168417,Dinosauria,txn:52775,25.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,herbivore,,168417,True,False
occ:1267106,col:168417,Coelurosauria,txn:53940,25.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,168417,True,False
occ:1267109,col:168417,Macroolithus yaotunensis,txn:67184,3.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Ariunchimeg,1997,Maastrichtian,predator,Macroolithus,168417,True,True
occ:1267110,col:127670,Gallimimus,txn:38547,5.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Matsumoto et al.,2010,Maastrichtian,predator,Gallimimus,127670,True,False
occ:1267111,col:127670,Prenocephale prenes,txn:52833,3.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Evans et al.,2018,Maastrichtian,herbivore,Prenocephale,127670,True,False
occ:1267112,col:127670,Gallimimus,txn:38547,5.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,127670,True,False
occ:1267113,col:127670,Theropoda,txn:38513,25.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,,127670,True,False
occ:1267119,col:127682,Tarbosaurus,txn:53224,5.0,100.46167,43.483891,fluvial indet.,sandstone,"""Lithology of the beds is alternation of sandstone and mudstone layers with fluvial origin. Total thickness of the beds is about 25 m. Paleosol are developed in those beds. Paleocurrent direction on trough cross-stratification of hard sandstone layers is W to NW (299.1 degree, standard deviation = 6.45, N = 8).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1993, 2006",Ulaan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,Tarbosaurus,127682,True,False
occ:1267120,col:127682,Saurolophus,txn:38768,5.0,100.46167,43.483891,fluvial indet.,sandstone,"""Lithology of the beds is alternation of sandstone and mudstone layers with fluvial origin. Total thickness of the beds is about 25 m. Paleosol are developed in those beds. Paleocurrent direction on trough cross-stratification of hard sandstone layers is W to NW (299.1 degree, standard deviation = 6.45, N = 8).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1993, 2006",Ulaan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,herbivore,Saurolophus,127682,True,False
occ:1269343,col:127675,Dinosauria,txn:52775,25.0,101.050003,43.501667,fluvial indet.,sandstone,,body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Northern Sayr [HMNS-GIN] — Nemegt Fm.",Watabe and Suzuki,2000,Maastrichtian,herbivore,,127675,True,False
occ:1269344,col:127675,Sauropoda,txn:38653,25.0,101.050003,43.501667,fluvial indet.,sandstone,,body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Northern Sayr [HMNS-GIN] — Nemegt Fm.",Watabe and Suzuki,2000,Maastrichtian,herbivore,,127675,True,False
occ:1269345,col:168809,Tarbosaurus,txn:53224,5.0,101.050003,43.501667,terrestrial indet.,not reported,,"body,mold/impression,soft parts",,snapshot,taxonomic,small collection,"surface (in situ),observed (not collected)",1992–1993,"Nemegt, Western Sayr [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,168809,True,False
occ:1269346,col:168810,Pachycephalosauria,txn:38782,12.0,101.050003,43.501667,terrestrial indet.,sandstone,"""coarse-grained sandstone""",body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Central Sayr [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,herbivore,,168810,True,False
occ:1269347,col:168810,Saurolophus angustirostris,txn:64295,3.0,101.050003,43.501667,terrestrial indet.,sandstone,"""coarse-grained sandstone""",body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Central Sayr [HMNS-GIN]",Tsogtbaatar and Chinzorig,2007,Maastrichtian,herbivore,Saurolophus,168810,True,False
occ:1269348,col:168810,Gallimimus,txn:38547,5.0,101.050003,43.501667,terrestrial indet.,sandstone,"""coarse-grained sandstone""",body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Central Sayr [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,168810,True,False
occ:1269349,col:168810,Tarbosaurus,txn:53224,5.0,101.050003,43.501667,terrestrial indet.,sandstone,"""coarse-grained sandstone""",body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Central Sayr [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,168810,True,False
occ:1269836,col:127671,Tarbosaurus,txn:53224,5.0,100.503891,43.598057,fluvial indet.,sandstone,"""The fossiliferous beds are alternation of sandstone and mudstone layers with fluvial origin""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection,observed (not collected)","1993, 1997, 2006",Altan Ula II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,127671,True,False
occ:1269837,col:127671,Theropoda,txn:38513,25.0,100.503891,43.598057,fluvial indet.,sandstone,"""The fossiliferous beds are alternation of sandstone and mudstone layers with fluvial origin""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection,observed (not collected)","1993, 1997, 2006",Altan Ula II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,,127671,True,False
occ:1269859,col:127674,Theropoda,txn:38513,25.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,,127674,True,False
occ:1269860,col:127674,Hadrosauridae,txn:38755,9.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127674,True,False
occ:1269861,col:127674,Ankylosauria,txn:38816,25.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127674,True,False
occ:1271456,col:168983,Mononykus,txn:53210,5.0,99.801392,43.482777,fluvial-lacustrine indet.,sandstone,,body,autochthonous,,general faunal/floral,outcrop,"surface (in situ),field collection","1993–1994, 1997","Khermeen Tsav I, Gate [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Mononykus,168983,True,False
occ:1271457,col:168983,Gobipteryx,txn:39254,5.0,99.801392,43.482777,fluvial-lacustrine indet.,sandstone,,body,autochthonous,,general faunal/floral,outcrop,"surface (in situ),field collection","1993–1994, 1997","Khermeen Tsav I, Gate [HMNS-GIN]",Watabe and Weishampel,1994,Maastrichtian,predator,Gobipteryx,168983,True,False
occ:1271458,col:168983,Bagaceratops,txn:38846,5.0,99.801392,43.482777,fluvial-lacustrine indet.,sandstone,,body,autochthonous,,general faunal/floral,outcrop,"surface (in situ),field collection","1993–1994, 1997","Khermeen Tsav I, Gate [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,herbivore,Bagaceratops,168983,True,False
occ:1272864,col:127674,Deinocheirus mirificus,txn:57246,3.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Lee et al.,2014,Maastrichtian,predator,Deinocheirus,127674,True,False
occ:1272867,col:168983,Protoceratopsidae,txn:38845,9.0,99.801392,43.482777,fluvial-lacustrine indet.,sandstone,,body,autochthonous,,general faunal/floral,outcrop,"surface (in situ),field collection","1993–1994, 1997","Khermeen Tsav I, Gate [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,herbivore,,168983,True,False
occ:1272868,col:168983,Dinosauria,txn:52775,25.0,99.801392,43.482777,fluvial-lacustrine indet.,sandstone,,body,autochthonous,,general faunal/floral,outcrop,"surface (in situ),field collection","1993–1994, 1997","Khermeen Tsav I, Gate [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,herbivore,,168983,True,False
occ:1272879,col:168988,Elongatoolithidae,txn:65566,9.0,99.82917,43.316387,fluvial indet.,sandstone,"""The paleocurrent direction of the Upper White Beds on trough cross-stratification is mainly SE (136 degree, standard deviation = 10, N = 5).""",body,autochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1994, 1997, 2006","Khermeen Tsav II, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,168988,True,False
occ:1272883,col:168988,Saurornithoides,txn:38573,5.0,99.82917,43.316387,fluvial indet.,sandstone,"""The paleocurrent direction of the Upper White Beds on trough cross-stratification is mainly SE (136 degree, standard deviation = 10, N = 5).""",body,autochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1994, 1997, 2006","Khermeen Tsav II, Upper White Beds [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Saurornithoides,168988,True,False
occ:1272886,col:55257,Oksoko avarsan,txn:430729,3.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Funston et al.,2020,Maastrichtian,predator,Oksoko,55257,True,False
occ:1272887,col:100266,Saurolophus,txn:38768,5.0,100.01667,43.866669,crevasse splay,sandstone,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""","cast,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1998,Bugin Tsav tracksite [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,Saurolophus,100266,False,False
occ:1272892,col:108344,Dendroolithidae,txn:67212,9.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Watabe and Tsogtbaatar,2004,Maastrichtian,predator,,108344,True,False
occ:1273540,col:168988,Ornithomimidae,txn:38539,9.0,99.82917,43.316387,fluvial indet.,sandstone,"""The paleocurrent direction of the Upper White Beds on trough cross-stratification is mainly SE (136 degree, standard deviation = 10, N = 5).""",body,autochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1994, 1997, 2006","Khermeen Tsav II, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,168988,True,False
occ:1273542,col:55258,Ingenia,txn:38560,5.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,Ingenia,55258,True,False
occ:1273550,col:55257,Avimimus portentosus,txn:55489,3.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Tsuihiji et al.,2017,Maastrichtian,predator,Avimimus,55257,True,False
occ:1273551,col:55257,Mononykus,txn:53210,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe et al.,2010,Maastrichtian,predator,Mononykus,55257,True,False
occ:1273552,col:55257,Dromaeosauridae,txn:38561,9.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe et al.,2010,Maastrichtian,predator,,55257,True,False
occ:1273553,col:55257,Prenocephale,txn:38790,5.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Evans et al.,2018,Maastrichtian,herbivore,Prenocephale,55257,True,False
occ:1273554,col:55257,Ankylosauria,txn:38816,25.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe et al.,2010,Maastrichtian,herbivore,,55257,True,False
occ:1273560,col:127679,Oviraptorosauria,txn:54546,11.0,99.976669,43.816387,fluvial indet.,sandstone,,body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection","1993-1994, 1998, 2006",Bugin Tsav II [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127679,True,False
occ:1273562,col:127674,Sauropoda,txn:38653,25.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe et al.,2010,Maastrichtian,herbivore,,127674,True,False
occ:1273563,col:127674,Dinosauria,txn:52775,25.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe et al.,2010,Maastrichtian,herbivore,,127674,True,False
occ:1273564,col:127674,Oviraptorosauria,txn:54546,11.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127674,True,False
occ:1273700,col:168417,Carnosauria,txn:53943,11.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,168417,True,False
occ:1273701,col:168417,Hadrosauridae,txn:38755,9.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,herbivore,,168417,True,False
occ:1273702,col:168417,Ankylosauria,txn:38816,25.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,herbivore,,168417,True,False
occ:1273704,col:168417,Aves,txn:36616,17.0,100.233055,43.861942,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west""","body,concretion",,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection",2006,"Gurilin Tsav, eastern badlands [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,168417,True,False
occ:1273706,col:55258,Dendroolithidae,txn:67212,9.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,55258,True,False
occ:1273711,col:55258,Protoceratopsidae,txn:38845,9.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,herbivore,,55258,True,False
occ:1273712,col:55258,Alvarezsauridae,txn:64116,9.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,55258,True,False
occ:1273713,col:168988,Ankylosauria,txn:38816,25.0,99.82917,43.316387,fluvial indet.,sandstone,"""The paleocurrent direction of the Upper White Beds on trough cross-stratification is mainly SE (136 degree, standard deviation = 10, N = 5).""",body,autochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1994, 1997, 2006","Khermeen Tsav II, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,herbivore,,168988,True,False
occ:1273714,col:168988,Dendroolithidae,txn:67212,9.0,99.82917,43.316387,fluvial indet.,sandstone,"""The paleocurrent direction of the Upper White Beds on trough cross-stratification is mainly SE (136 degree, standard deviation = 10, N = 5).""",body,autochthonous,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1994, 1997, 2006","Khermeen Tsav II, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,predator,,168988,True,False
occ:1273723,col:127682,Theropoda,txn:38513,25.0,100.46167,43.483891,fluvial indet.,sandstone,"""Lithology of the beds is alternation of sandstone and mudstone layers with fluvial origin. Total thickness of the beds is about 25 m. Paleosol are developed in those beds. Paleocurrent direction on trough cross-stratification of hard sandstone layers is W to NW (299.1 degree, standard deviation = 6.45, N = 8).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1993, 2006",Ulaan Khushu [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127682,True,False
occ:1273724,col:127674,Saurolophus angustirostris,txn:64295,3.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Tsogtbaatar and Chinzorig,2007,Maastrichtian,herbivore,Saurolophus,127674,True,False
occ:1273725,col:127674,Elongatoolithidae,txn:65566,9.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127674,True,False
occ:1273726,col:127674,Dendroolithidae,txn:67212,9.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127674,True,False
occ:1273727,col:127671,Saurolophus angustirostris,txn:64295,3.0,100.503891,43.598057,fluvial indet.,sandstone,"""The fossiliferous beds are alternation of sandstone and mudstone layers with fluvial origin""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection,observed (not collected)","1993, 1997, 2006",Altan Ula II [HMNS-GIN],Tsogtbaatar and Chinzorig,2007,Maastrichtian,herbivore,Saurolophus,127671,True,False
occ:1273728,col:130799,Dinosauria,txn:52775,25.0,101.281944,43.985279,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. In the section, the sandstone layers are dominant. Paleocurrent direction on trough cross-stratification of hard sandstone layers""",body,,snapshot,general faunal/floral,outcrop,"surface (float),field collection",1995,Khuree Tsav [HMNS-GIN],Watabe et al.,2010,Maastrichtian,herbivore,,130799,True,False
occ:1328397,col:165580,Tarbosaurus bataar,txn:63705,3.0,100.366669,43.479168,terrestrial indet.,"""siliciclastic""",,body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1948–1949, 1967–1969",Tsagan Hushu [MPE/SMGE] (PIN coll. 552),Maleev,1955,Maastrichtian,predator,Tarbosaurus,165580,True,False
occ:1328398,col:51972,Tarbosaurus bataar,txn:63705,3.0,101.275002,43.491669,terrestrial indet.,not reported,,body,,snapshot,taxonomic,small collection,"mechanical,field collection,survey of museum collection","1946, 1948–1949",Nemegt locality (PIN coll. 551) [MPE],Maleev,1955,Maastrichtian,predator,Tarbosaurus,51972,True,False
