specialty,specialty_en,outcome,year,forecast_mean,forecast_lower,forecast_upper
麻酔科,Anaesthesiology,facilities,2024,3302.0248552296316,3300.3362275935415,3303.7134828657217
麻酔科,Anaesthesiology,facilities,2025,3387.3465192189747,3383.07914935938,3391.613889078569
麻酔科,Anaesthesiology,facilities,2026,3474.0260889936117,3466.325394181857,3481.7267838053663
麻酔科,Anaesthesiology,facilities,2027,3564.286701954231,3553.996267524611,3574.5771363838508
麻酔科,Anaesthesiology,facilities,2028,3656.4066339920823,3643.7160408790946,3669.09722710507
麻酔科,Anaesthesiology,facilities,2029,3751.5872740658156,3736.8765865906576,3766.2979615409736
麻酔科,Anaesthesiology,facilities,2030,3849.343231338471,3832.98030675168,3865.706155925262
麻酔科,Anaesthesiology,facilities,2031,3950.3960613491136,3932.6063118664983,3968.1858108317288
麻酔科,Anaesthesiology,facilities,2032,4054.2035643558615,4035.0035554790297,4073.4035732326934
麻酔科,Anaesthesiology,facilities,2033,4161.416989598591,4140.867567300197,4181.966411896984
