species,event_year,kind,obs_redist,env_pred_redist,hist_pred_redist,n_routes
4560,2016,hot,0.0,0.328042328042328,0.3333333333333333,756
4560,2008,cold,0.0,0.35424354243542433,0.2952029520295203,813
4560,2009,cold,0.0,0.6243654822335025,0.5126903553299492,788
4560,2014,cold,0.0,0.13333333333333333,0.29219858156028367,705
4590,2012,hot,0.0,0.26373626373626374,0.31868131868131866,91
4590,2016,hot,0.0,0.16363636363636364,0.37272727272727274,110
4590,2008,cold,0.0,0.20422535211267606,0.21830985915492956,142
4590,2009,cold,0.0,0.21551724137931033,0.27586206896551724,116
4590,2014,cold,0.0,0.13636363636363635,0.33636363636363636,110
4610,2012,hot,0.0,0.2587131367292225,0.2734584450402145,746
4610,2016,hot,0.0,0.3262108262108262,0.3005698005698006,702
4610,2008,cold,0.0,0.6540469973890339,0.46736292428198434,766
4610,2009,cold,0.0,0.6450331125827815,0.3827814569536424,755
4610,2014,cold,0.0,0.4740532959326788,0.30434782608695654,713
4620,2012,hot,0.0,0.2345132743362832,0.20353982300884957,226
4620,2016,hot,0.0,0.15918367346938775,0.24897959183673468,245
4620,2008,cold,0.0,0.21509433962264152,0.1811320754716981,265
4620,2009,cold,0.0,0.2641509433962264,0.21132075471698114,265
4620,2014,cold,0.0,0.22608695652173913,0.24347826086956523,230
4650,2012,hot,0.0,0.05653710247349823,0.14487632508833923,283
4650,2016,hot,0.0,0.09541984732824428,0.2366412213740458,262
4650,2008,cold,0.0,0.24363636363636362,0.21818181818181817,275
4650,2009,cold,0.0,0.23880597014925373,0.22014925373134328,268
4650,2014,cold,0.0,0.17054263565891473,0.18992248062015504,258
4660,2012,hot,0.0,0.4448818897637795,0.33858267716535434,254
4660,2016,hot,0.0,0.13617021276595745,0.23829787234042554,235
4660,2008,cold,0.0,0.24742268041237114,0.16838487972508592,291
4660,2009,cold,0.0,0.3795620437956204,0.2737226277372263,274
4660,2014,cold,0.0,0.2840466926070039,0.2490272373540856,257
4661,2012,hot,0.0,0.5275862068965518,0.5586206896551724,290
4661,2016,hot,0.0,0.3205574912891986,0.3240418118466899,287
4661,2008,cold,0.0,0.2936046511627907,0.2063953488372093,344
4661,2009,cold,0.0,0.43613707165109034,0.32398753894080995,321
4661,2014,cold,0.0,0.38267148014440433,0.3140794223826715,277
4670,2012,hot,0.0,0.5308641975308642,0.36419753086419754,324
4670,2016,hot,0.0,0.2126984126984127,0.2761904761904762,315
4670,2008,cold,0.0,0.12332439678284182,0.2037533512064343,373
4670,2009,cold,0.0,0.37057220708446864,0.29427792915531337,367
4670,2014,cold,0.0,0.42946708463949845,0.31347962382445144,319
4740,2012,hot,0.0,0.26245847176079734,0.1760797342192691,602
4740,2016,hot,0.0,0.34056761268781305,0.1636060100166945,599
4740,2008,cold,0.0,0.2737341772151899,0.33860759493670883,632
4740,2009,cold,0.0,0.32741935483870965,0.27419354838709675,620
4740,2014,cold,0.0,0.3204903677758319,0.17688266199649738,571
4750,2012,hot,0.0,0.2772727272727273,0.2909090909090909,220
4750,2016,hot,0.0,0.19607843137254902,0.27058823529411763,255
4750,2008,cold,0.0,0.4609375,0.27734375,256
4750,2009,cold,0.0,0.6293436293436293,0.3861003861003861,259
4750,2014,cold,0.0,0.484304932735426,0.2645739910313901,223
4770,2012,hot,0.0,0.6982300884955752,0.32035398230088497,1130
4770,2016,hot,0.0,0.475,0.2846153846153846,1040
4770,2008,cold,0.0,0.4865100087032202,0.29852045256744997,1149
4770,2009,cold,0.0,0.5209260908281389,0.2680320569902048,1123
4770,2014,cold,0.0,0.21007604562737642,0.23574144486692014,1052
4860,2012,hot,0.0,0.4438405797101449,0.29528985507246375,552
4860,2016,hot,0.0,0.13416536661466458,0.20748829953198128,641
4860,2008,cold,0.0,0.41641337386018235,0.26443768996960487,658
4860,2009,cold,0.0,0.38801261829652994,0.4227129337539432,634
4860,2014,cold,0.0,0.24469820554649266,0.2365415986949429,613
