AOU,routes,years,nz,med_n,tot,nz_frac,included,reason
2555,18,15,23,1.0,256,0.08984375,False,few_routes
2560,229,27,721,1.0,2760,0.26123188405797104,False,few_routes
2580,494,30,4003,3.0,7191,0.5566680572938395,False,few_routes
2590,10,22,49,1.0,151,0.32450331125827814,False,few_routes
2610,828,29,6235,4.0,13503,0.46174924090942754,False,few_routes
2620,1,2,2,1.5,3,0.6666666666666666,False,few_routes
2630,1611,33,7156,1.0,25787,0.2775041687672083,False,low_prevalence
2640,440,27,3268,4.0,6670,0.4899550224887556,False,few_routes
2650,24,26,144,2.0,356,0.4044943820224719,False,few_routes
2680,5,9,10,2.5,70,0.14285714285714285,False,few_routes
270,20,26,64,2.0,222,0.2882882882882883,False,few_routes
2700,4,8,8,1.0,64,0.125,False,few_routes
2720,21,26,128,2.0,301,0.42524916943521596,False,few_routes
2721,13,25,66,2.0,152,0.4342105263157895,False,few_routes
2730,3882,36,44249,5.0,62578,0.7071015372814727,True,
2740,52,26,199,2.0,746,0.2667560321715818,False,few_routes
2770,6,7,9,1.0,121,0.0743801652892562,False,few_routes
2780,13,23,59,4.0,211,0.2796208530805687,False,few_routes
2800,9,17,28,2.0,109,0.25688073394495414,False,few_routes
2810,67,27,296,2.0,1170,0.252991452991453,False,few_routes
2820,4,5,5,1.0,76,0.06578947368421052,False,few_routes
2830,4,9,11,1.0,71,0.15492957746478872,False,few_routes
2840,2,9,9,1.0,22,0.4090909090909091,False,few_routes
2860,11,26,94,2.0,231,0.4069264069264069,False,few_routes
2870,15,27,85,2.0,217,0.391705069124424,False,few_routes
2881,386,28,1517,2.0,6186,0.2452311671516327,False,few_routes
2882,156,26,851,3.0,2480,0.3431451612903226,False,few_routes
2890,1673,31,19031,8.0,29225,0.6511890504704876,True,
290,22,27,144,3.0,371,0.3881401617250674,False,few_routes
2920,167,28,1413,4.0,2467,0.5727604377786786,False,few_routes
2930,185,27,1987,6.0,3202,0.6205496564647096,False,few_routes
2940,403,28,4078,7.0,6021,0.6772961302109284,False,few_routes
2950,122,26,1510,13.0,1855,0.8140161725067385,False,few_routes
2960,20,24,80,2.0,410,0.1951219512195122,False,few_routes
2970,98,26,212,1.0,1692,0.12529550827423167,False,few_routes
2971,126,27,683,2.0,1843,0.37059142702116116,False,few_routes
2973,17,18,38,1.0,309,0.12297734627831715,False,few_routes
2980,98,26,183,1.0,1245,0.14698795180722893,False,few_routes
30,198,28,619,2.0,2854,0.2168885774351787,False,few_routes
300,9,17,35,11.0,160,0.21875,False,few_routes
3000,1120,29,3954,1.0,17136,0.23074229691876752,False,few_years
3010,52,26,305,3.0,734,0.41553133514986373,False,few_routes
3020,20,26,77,2.0,282,0.2730496453900709,False,few_routes
3040,2,3,3,1.0,46,0.06521739130434782,False,few_routes
3050,86,26,420,4.0,1401,0.29978586723768735,False,few_routes
3070,18,22,65,2.0,340,0.19117647058823528,False,few_routes
3080,345,28,1517,2.0,5170,0.29342359767891685,False,few_routes
3089,6,19,25,2.0,134,0.1865671641791045,False,few_routes
3090,119,29,429,3.0,1802,0.23806881243063263,False,few_routes
3091,1549,29,13931,7.0,26787,0.520065703512898,False,few_years
3095,1,9,9,24.0,9,1.0,False,few_routes
310,1,1,1,1.0,16,0.0625,False,few_routes
3100,2455,28,16085,2.0,43839,0.3669107415771345,False,few_years
3110,4,12,15,2.0,60,0.25,False,few_routes
3120,300,28,2217,4.0,4665,0.4752411575562701,False,few_routes
3130,3,3,3,1.0,46,0.06521739130434782,False,few_routes
3131,3083,34,28209,6.0,51072,0.5523378759398496,True,
3140,6,24,55,9.0,84,0.6547619047619048,False,few_routes
315,2,7,7,20.0,27,0.25925925925925924,False,few_routes
3151,4,5,7,1.0,37,0.1891891891891892,False,few_routes
3152,4,5,5,3.0,60,0.08333333333333333,False,few_routes
3160,4153,36,61476,23.0,65594,0.9372198676708235,True,
3180,28,27,165,2.0,404,0.4084158415841584,False,few_routes
3190,402,27,2981,7.0,6855,0.4348650619985412,False,few_routes
320,7,20,27,15.0,78,0.34615384615384615,False,few_routes
3200,317,27,2804,3.0,5194,0.5398536773199846,False,few_routes
